gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,ceq,cogs,csho,invt,lct,lt,ni,re,revt,costat,prcc_c
028176,20211231,2021,INDL,C,D,STD,ATR,USD,1358.2080,4141.3640,1969.4070,2077.9380,65.5180,441.4640,982.4920,2156.7640,244.0970,1473.3720,3227.2210,A,122.4800
028180,20211231,2021,INDL,C,D,STD,ORLY,USD,4504.2620,11718.7070,-66.4230,5979.3970,67.0290,3686.3830,5874.6150,11785.1300,2164.6850,-1372.6010,13327.5630,A,706.2300
028191,20211231,2021,INDL,C,D,STD,RCL,USD,3600.2710,32258.3550,5085.5560,2657.5120,254.8200,150.2240,7285.6830,27172.7990,-5260.4990,-408.6090,1532.1330,A,76.9000
028195,20210831,2021,INDL,C,D,STD,JBL,USD,10877.0000,16654.0000,2136.0000,26098.0000,144.4960,4414.0000,10683.0000,14517.0000,696.0000,2663.0000,29285.0000,A,70.3500
028209,20211231,2021,INDL,C,D,STD,ANIK,USD,168.5280,347.5350,287.0850,41.6240,14.4410,36.0100,29.7950,60.4500,4.1340,219.8600,147.7940,A,35.8300
028216,20211231,2021,INDL,C,D,STD,RGA,USD,,92175.0000,13014.0000,15766.0000,67.1710,0.0000,,79161.0000,617.0000,12205.0000,16169.0000,A,109.4900
028278,20211231,2021,INDL,C,D,STD,GABC,USD,,5608.5390,668.4590,3.0490,26.5540,10.5850,,4940.0800,84.1370,365.8480,229.8410,A,38.9800
028295,20211231,2021,INDL,C,D,STD,TWI,USD,813.3040,1182.6850,229.3000,1495.6730,66.4120,392.6150,450.8130,955.5130,49.5860,-331.9190,1780.2150,A,10.9600
028320,20211231,2021,INDL,C,D,STD,CDW,USD,6478.1000,13199.4000,705.7000,17061.3000,134.8000,927.6000,5096.0000,12493.7000,988.6000,-2665.1000,20820.8000,A,204.7800
028322,20211231,2021,INDL,C,D,STD,HR,USD,,4258.9190,2185.1160,432.0880,150.4570,0.0000,,2073.8030,66.6590,-1789.3060,534.0130,A,31.6400
028323,20211231,2021,INDL,C,D,STD,AKR,USD,,4261.7460,1521.6130,232.2370,89.3040,0.0000,,2111.8110,23.5480,-232.8590,306.8920,A,21.8300
028340,20211231,2021,INDL,C,D,STD,SKT,USD,,2157.3840,477.9250,257.7330,104.0850,0.0000,,1657.5950,9.1180,-501.1700,433.8340,A,19.2800
028349,20211231,2021,INDL,C,D,STD,ALL,USD,,99440.0000,25179.0000,43150.0000,280.5950,0.0000,,74313.0000,1599.0000,53949.0000,50588.0000,A,117.6500
028367,20211231,2021,INDL,C,D,STD,IRTC,USD,305.5220,462.9670,279.5150,99.4160,29.4940,10.2680,87.8530,183.4520,-101.3610,-406.1060,322.8250,A,117.6900
028380,20211231,2021,INDL,C,D,STD,OFIX,USD,269.5220,476.6230,336.9340,93.1620,19.8370,82.9740,105.8300,139.6890,-38.3790,21.0000,464.4790,A,31.0900
028384,20211231,2021,INDL,C,D,STD,SPNS,USD,300.3450,714.9930,406.5480,249.8990,55.0650,0.0000,151.6950,306.1720,47.1710,74.3780,461.0350,A,34.4500
028397,20211231,2021,INDL,C,D,STD,PZZA,USD,255.0090,885.7040,-187.6700,1644.9150,35.7970,34.9810,287.4240,1052.6640,120.0160,173.1860,2068.4210,A,133.4700
028410,20211231,2021,INDL,C,D,STD,BBSI,USD,406.7190,746.9520,208.5300,750.6580,7.4150,0.0000,315.3960,538.4220,38.0790,179.4020,955.1660,A,69.0600
028420,20211231,2021,INDL,C,D,STD,BL,USD,1347.6880,1817.5780,325.0360,78.5370,58.9840,0.0000,322.5770,1463.8430,-115.1610,-301.4370,425.7060,A,103.5400
028499,20211231,2021,INDL,C,D,STD,YUMC,USD,4716.0000,13223.0000,7056.0000,8008.0000,428.0000,432.0000,2383.0000,5301.0000,990.0000,3160.0000,9853.0000,A,49.8400
028590,20211231,2021,INDL,C,D,STD,BCO,USD,1999.5000,5566.7000,123.0000,2996.3000,47.4000,0.0000,1429.0000,5314.1000,105.2000,-595.0000,4200.2000,A,65.5700
028629,20211231,2021,INDL,C,D,STD,CPT,USD,,7976.7840,4197.4900,868.5670,112.5780,0.0000,,3710.5290,303.9070,-833.1920,1165.1170,A,178.6800
028670,20211231,2021,INDL,C,D,STD,IIPR,USD,,2084.6020,1597.6900,46.2190,25.6130,0.0000,,472.9030,113.9900,-75.2180,204.9480,A,262.9100
028704,20211231,2021,INDL,C,D,STD,MCRI,USD,84.0640,690.4590,448.0140,177.7160,18.7650,7.1590,141.1780,242.4450,68.4880,410.7380,395.3770,A,73.9500
028719,20211231,2021,INDL,C,D,STD,CNDT,USD,1680.0000,4036.0000,1132.0000,3138.0000,215.3810,0.0000,1025.0000,2762.0000,-28.0000,-2780.0000,4140.0000,A,5.3400
028733,20211231,2021,INDL,C,D,STD,EQR,USD,,21169.2410,10917.6680,1803.8330,375.5270,0.0000,,9483.0560,1332.8500,1792.7910,2486.2650,A,90.5000
028742,20211231,2021,INDL,C,D,STD,BWA,USD,6597.0000,16575.0000,6948.0000,11211.0000,239.7770,1534.0000,3798.0000,9313.0000,537.0000,6120.0000,14838.0000,A,45.0700
028749,20211231,2021,INDL,C,D,STD,FLL,USD,275.3720,473.8420,112.7150,73.9460,34.2430,1.6600,38.0530,361.1270,11.7060,5.0920,180.1590,A,12.1100
028762,20211231,2021,INDL,C,D,STD,SPTN,USD,957.1930,2206.7820,782.8690,7527.1600,35.9480,522.3240,655.8380,1423.9130,73.7510,289.0860,8931.0390,A,25.7600
028769,20211231,2021,INDL,C,D,STD,BFS,USD,,1746.7610,220.0490,111.9000,23.8400,0.0000,,1216.2740,48.3890,-216.7980,239.2320,A,53.0200
028785,20211231,2021,INDL,C,D,STD,WINA,USD,17.4320,26.8990,-39.0830,4.3600,3.6360,0.3250,9.9780,65.9820,39.9200,-39.0830,78.2160,A,248.2900
028787,20210630,2021,INDL,C,D,STD,PFGC,USD,3580.4000,7845.7000,2106.1000,25516.0000,132.5000,1839.4000,2527.2000,5739.6000,40.7000,352.0000,29203.1000,A,45.8900
028790,20210531,2020,INDL,C,D,STD,LW,USD,1781.7000,4209.4000,480.6000,2640.2000,146.1920,513.5000,618.2000,3728.8000,317.8000,1274.1000,3672.5000,A,78.7400
028806,20210930,2021,INDL,C,D,STD,ARWR,USD,384.5970,710.1480,408.8220,279.0560,104.3270,0.0000,146.5360,301.3260,-140.8480,-644.7610,138.2870,A,66.3000
028866,20210930,2021,INDL,C,D,STD,CASH,USD,,6690.6500,870.7290,56.6290,31.6700,58.2710,,5818.7660,141.7080,266.7880,556.7580,A,59.6600
028930,20211231,2021,INDL,C,D,STD,MAR,USD,3626.0000,25553.0000,1414.0000,11797.0000,326.3000,0.0000,6407.0000,24139.0000,1099.0000,9963.0000,13829.0000,A,165.2400
028940,20211231,2021,INDL,C,D,STD,BDC,USD,1467.0280,3417.6770,955.2870,1491.2410,44.9750,345.3540,718.5390,2461.5950,63.9250,435.1510,2408.1000,A,65.7300
028967,20211231,2021,INDL,C,D,STD,QCRH,USD,,6096.1320,677.0100,25.4080,15.6130,3.8280,,5419.1220,98.9050,387.6290,300.5770,A,56.0000
029004,20210930,2021,INDL,C,D,STD,VREX,USD,554.2000,1147.5000,483.3000,517.5000,39.4360,224.8000,166.6000,651.0000,17.4000,33.5000,818.1000,A,31.5500
029011,20211231,2021,INDL,C,D,STD,BYD,USD,507.8030,6224.1690,1538.7460,1663.2970,111.3030,20.0900,557.0420,4685.4230,463.8460,709.9080,3369.8100,A,65.5700
029015,20210331,2020,INDL,C,D,STD,DECK,USD,1650.7990,2167.7050,1444.2250,1133.5860,27.9100,278.2420,468.3680,723.4800,382.5750,1240.6360,2545.6410,A,286.7800
029018,20211231,2021,INDL,C,D,STD,ALBO,USD,268.9300,302.0510,175.6080,1.0820,19.2970,0.1940,45.3470,126.4430,-34.0300,-299.7450,40.5790,A,23.2900
029028,20210831,2021,INDL,C,D,STD,COST,USD,29505.0000,59268.0000,17564.0000,168903.0000,441.8250,14215.0000,29441.0000,41190.0000,5007.0000,10529.0000,195929.0000,A,567.7000
029052,20211231,2021,INDL,C,D,STD,LXP,USD,,4005.5580,2196.8420,230.0010,283.7530,0.0000,,1682.3300,382.6480,-1055.6920,343.8070,A,15.6200
029099,20211231,2021,INDL,C,D,STD,REG,USD,,10792.5630,6037.3710,719.2100,170.7850,0.0000,,4682.6310,361.4110,-1825.0410,1213.8710,A,75.3500
029101,20211231,2021,INDL,C,D,STD,FFIN,USD,,13102.4610,1759.2240,4.9030,141.5950,40.2870,,11343.2370,227.5620,1080.9280,518.5810,A,50.8400
029108,20211231,2021,INDL,C,D,STD,PTEN,USD,583.6530,2957.8480,1609.4870,1081.9480,215.1400,42.3590,435.8530,1348.3610,-654.5450,-192.4010,1357.0810,A,8.4500
029127,20211231,2021,INDL,C,D,STD,INCY,USD,3118.6740,4933.3520,3770.0040,130.2100,221.0840,27.9040,854.3080,1163.3480,948.5810,-797.3280,2986.2670,A,73.4000
029133,20211231,2021,INDL,C,D,STD,ITRI,USD,749.9290,2393.7900,1116.0770,1360.0510,45.1520,165.7990,501.3440,1251.0310,-81.2550,-663.6980,1981.5720,A,68.5200
029150,20210131,2020,INDL,C,D,STD,URBN,USD,1223.3320,3546.3450,1477.3580,2455.5500,97.8160,389.6180,906.1320,2068.9870,1.2360,1457.9880,3449.7490,A,25.6000
